processId,id,filename,title,DOCTYPE,DATE,STATES,AGENCY
,17345,EisDocuments-338181,West Santa Ana Branch Transit Corridor Project Draft Environmental Impact Statement/Environmental Impact Report,Draft,July 2021,CA,Federal Transit Administration
1000248.0,17378,EisDocuments-338101,Atlantic Coast Pipeline and Supply Header Project,Draft Supplement,July 2021,,Federal Energy Regulatory Commission
8000136.0,17337,EisDocuments-337681,Evangeline Pass Expansion Project,Draft,July 2021,,Federal Energy Regulatory Commission
,17281,EisDocuments-336697,"Tier 1 Environmental Impact Statement and Preliminary Section 4(f) Evaluation for Interstate 11 Corridor between Nogales and Wickenburg, Arizona",Final,July 2021,AZ,Federal Highway Administration
398.0,17347,EisDocuments-337353,Draft Programmatic Environmental Impact Statement for Veterans Affairs Housing Loan Program,Draft,July 2021,,Department of Veteran Affairs
,17277,EisDocuments-335006,Youngs Rock Rigdon,Draft,July 2021,OR,Forest Service
8000038.0,17315,EisDocuments-335198,Airspace Optimization for Readiness for Mountain Home Air Force Base,Draft,July 2021,,United States Air Force
229.0,17326,EisDocuments-335226,Clear Creek Integrated Restoration Project,Final Supplement,July 2021,ID,Forest Service
25.0,17336,EisDocuments-335021,Berlaimont Estates Access Route,Final,July 2021,CO,Forest Service
8000155.0,17369,EisDocuments-335051,Proposed Lake Ontario National Marine Sanctuary Draft Environmental Impact Statement and Draft Management Plan,Draft,July 2021,NY,National Oceanic and Atmospheric Administration
8000102.0,17370,EisDocuments-335255,East 300 Upgrade Project,Draft,July 2021,,Federal Energy Regulatory Commission
814.0,17385,EisDocuments-335154,Kensington Gold Mine Plan of Operations Amendment 1,Final Supplement,July 2021,AK,Forest Service
4000018.0,17388,EisDocuments-335065,Atlanta to Charlotte Rail Corridor Investment Plan,Final,July 2021,,Federal Railroad Administration
54.0,17284,EisDocuments-334808,Blue Valley Ranch Land Exchange,Final,July 2021,CO,Bureau of Land Management
8000103.0,17318,EisDocuments-334766,East Lateral Xpress Project,Draft,July 2021,LA,Federal Energy Regulatory Commission
1534.0,17350,EisDocuments-334779,Regulatory Impact Review and Final Regulatory Flexibility Analysis for Amending the Atlantic Large Whale Take Reduction Plan: Risk Reduction Rule,Final,July 2021,,National Marine Fisheries Service
1855.0,17248,EisDocuments-332767,Sugar Pine Project Water Right Permit 15375 Extension and Radial Gates Installation,Draft,June 2021,CA,Forest Service
1803.0,17252,EisDocuments-334399,Spaceport Camden,Final,June 2021,GA,Federal Aviation Administration
